name,price,rpm,color,size,
ID-COOLING IS-55 ARGB,39.99,"5,002,000",Black,,
Cooler Master I30,13.3,2600,Black / Silver,,
Corsair H100x,299.99,1700,Black,240,
Gigabyte AORUS WATERFORCE X II 360,279.99,"8,002,400",Black,360,
Thermalright Burst Assassin,21.9,1550,Gray / Black,,
Asus ROG STRIX LC II,129.99,"8,002,500",Black,360,
Corsair iCUE LINK H100i LCD,199.99,"4,802,400",Black,240,
ID-COOLING DASHFLOW 240 BASIC,59.99,"7,001,800",White,240,
ARCTIC Freezer 7 X CO,26.99,"3,002,000",Black / Silver,,
Corsair iCUE LINK H170i RGB,199.99,"4,002,000",Black,420,
Inter-Tech ALSEYE W90,29.99,3000,White / Black,,
GAMDIAS BOREAS E1,29.99,"8,002,000",Black / Silver,,
Thermaltake TH360 V2 Ultra ARGB Sync,159.99,"5,001,800",Black,360,
Scythe Mugen 6 Dual Fan,54.99,"3,002,000",Black,,
Thermalright Assassin X 120 V2,18.19,1500,Black / Silver,,
Jonsbo CR-1400 EVO Color White,24.88,"8,002,200",White,,
Cooler Master I70C,24.98,"6,501,800",Black / Silver,,
Zalman CNPS9X Performa,19.99,"7,001,800",Black,,
Cooler Master MasterLiquid Lite 240,,"6,502,000",,240,
ID-COOLING AURAFLOW X,59.99,"7,001,800",Black,240,
Cooler Master MasterLiquid ML360L ARGB V2,119.99,"6,501,800",White,360,
EK AIO 240 D-RGB,125.99,"4,502,600",Black,240,
Cooler Master MasterLiquid ML280 Mirror,150.99,"6,501,400",Black,280,
Corsair H115i RGB PLATINUM,269.99,2000,Black / Silver,280,
Noctua NH-U9DXi4,64.95,"3,001,600",,,
NZXT T120,39.99,"5,001,800",White,,
Deepcool LS520 WH,103.34,"5,002,250",White,240,
Lian Li Galahad II LCD,199.99,"3,001,550",White,280,
Phanteks GLACIER ONE 420D30,179.99,"2,501,800",Black,420,
Thermaltake TH420 V2 Ultra ARGB Sync,149.99,"5,002,000",White,420,
Thermalright SI-100 WHITE ARGB,26.9,2000,White,,
Noctua NH-L9x65 SE-AM4,59.95,"6,002,500",,,
Thermalright Silver Soul 110,28.9,2500,White,,
Thermalright Silver Soul 110,35.9,2500,Black,,
Fractal Design Lumen S36 RGB V2,134.98,"5,002,000",Black,360,
Thermalright SI-100,26.9,2000,Blue,,
be quiet! Shadow Rock LP,49.9,1500,,,
Deepcool AG620 WH ARGB,57.23,"3,001,850",White,,
Cooler Master Hyper 620S,49.99,"3,501,750",Black / Silver,,
MSI MAG CORELIQUID 360R V2,139.18,"5,002,000",White,360,
