name,price,memory,core_clock,color
EVGA XC ULTRA GAMING,,8,1605,Transparent
MSI GAMING X TRIO,1851,12,1365,Black / Silver
Gigabyte GAMING,,4,1366,Black
EVGA BLACK GAMING,,8,1605,Black
Zotac GAMING AMP Extreme AIRO,1069.99,16,2210,Black
Acer Predator BiFrost OC,299.99,8,1720,Black
MSI GAMING X,557.92,16,2310,Black
Asus ROG STRIX GAMING OC,688.21,16,2310,Black / Red
PNY XLR8 Gaming VERTO EPIC-X RGB OC,779.99,12,2310,Black
MSI GAMING X TRIO,579.99,12,2150,Silver / Black
EVGA SC GAMING,443.24,6,1607,Black / Gray
Asus STRIX GAMING OC,575,8,1410,Black
MSI VENTUS 3X E OC,779.87,12,2310,Silver / Black
Asus ROG STRIX GAMING,849.99,12,2310,Black
XFX Speedster MERC 319 Black,769.99,16,1950,Black / Silver
Gigabyte Vision OC,997.5,8,1575,White / Silver
Sapphire NITRO+,599.99,12,2321,Silver / Black
Asus TUF Gaming EVO OC,359.99,6,1500,Black / Gray
EVGA Black,,8,1410,Clear / Black
MSI Radeon RX 6600 MECH 2X 8G,,8,1626,Black / Silver
PowerColor RX 7900 XT 20G,,20,2000,Black
Asus ROG STRIX GAMING OC,739,8,1500,Black
MSI Radeon RX 5500 XT MECH 8G OC,349.99,8,1647,Black
XFX Speedster MERC 308 Black,399.99,8,2055,Silver / Black
Asus TUF GAMING OC,,16,1270,Black
NVIDIA Founders Edition,,8,1650,Silver
Asus DUAL,,8,1582,White
PowerColor Hellhound OC,349.99,16,1720,Black
